;mack;date_publish;price_adjustment;price_closing;rate_of_change;gdkl_kl;gdkl_gt;gdtt_kl;gdtt_gt;price_open;price_highest;price_lowest
146;CMX;2021-08-04;10.61;13.35;0.05 (0.38 %);207.5;2770000000;0;0;13.45;13.45;13.25
147;CMX;2021-08-05;11.32;12.45;-0.85 (-6.39 %);354.9;4414000000;0;0;12.40;12.45;12.25
148;CMX;2021-08-06;11.64;12.80;0.35 (2.81 %);289.4;3687000000;0;0;12.80;12.85;12.60
149;CMX;2021-08-09;11.64;12.80;0.00 (0.00 %);143.8;1823000000;0;0;12.75;12.80;12.50
150;CMX;2021-08-10;11.55;12.70;-0.10 (-0.78 %);172.1;2179000000;0;0;12.65;12.80;12.50
151;CMX;2021-08-11;11.41;12.55;-0.15 (-1.18 %);293;3680000000;0;0;12.60;12.70;12.50
152;CMX;2021-08-12;11.32;12.45;-0.10 (-0.80 %);190;2367000000;0;0;12.40;12.55;12.40
153;CMX;2021-08-13;11.95;13.15;0.70 (5.62 %);651;8434000000;0;0;12.40;13.15;12.40
154;CMX;2021-08-16;12.73;14.00;0.85 (6.46 %);734.7;10253000000;0;0;13.65;14.05;13.60
155;CMX;2021-08-17;12.50;13.75;-0.25 (-1.79 %);261.8;3599000000;0;0;14.00;14.00;13.60
156;CMX;2021-08-18;12.59;13.85;0.10 (0.73 %);753.1;10533000000;0;0;13.70;14.20;13.35
157;CMX;2021-08-19;13.45;14.80;0.95 (6.86 %);1.494.100;21503000000;0;0;13.90;14.80;13.90
158;CMX;2021-08-20;13.45;14.80;0.00 (0.00 %);1.078.400;16276000000;0;0;15.50;15.55;14.10
159;CMX;2021-08-23;12.55;13.80;-1.00 (-6.76 %);670.7;9415000000;0;0;14.50;14.50;13.80
160;CMX;2021-08-24;11.95;13.15;-0.65 (-4.71 %);585.1;7760000000;0;0;13.80;14.00;12.90
161;CMX;2021-08-25;12.68;13.95;0.80 (6.08 %);494.8;6568000000;0;0;12.90;13.95;12.85
162;CMX;2021-08-26;12.32;13.55;-0.40 (-2.87 %);258.3;3581000000;0;0;14.25;14.30;13.55
